Ticker,In_Trade,Last_Close,Gain_Loss_Today_%,Last_Volume,Avg_Volume_20,Rel_Volume,HMA_above_EMA,MA_Reclaim_Candle,Accumulation,Entry_Price,Entry_Date,Unrealized_PnL_%,Days_In_Trade,Support,Resistance,Dist_To_Support_%,Dist_To_Resistance_%,Last_Exit_High,Dist_To_Last_Exit_High_%,RSI_Divergence,Market_Structure,ATR_Volatility_%,Report_Date,Score
EFID,False,28.85,-0.79,944447,1122734,0.84,True,False,False,,,,,24.3,29.25,18.72,1.39,29.45,-2.04,False,True,5.71,20260128,3.0
ACAMD,False,1.96,0.51,72615130,90857695,0.8,True,False,False,,,,,,2.02,,3.06,1.94,1.03,False,True,10.34,20260128,3.0
MILS,False,112.19,-2.49,39987,51468,0.78,False,False,False,,,,,111.5,131.31,0.62,17.04,131.49,-14.68,False,True,11.71,20260128,3.0
ARVA,False,7.73,-2.28,229065,427028,0.54,True,False,False,,,,,7.53,8.15,2.61,5.38,8.4,-7.98,False,False,7.72,20260128,3.0
ICFC,False,15.19,-1.81,828887,1529988,0.54,True,False,False,,,,,14.23,15.72,6.78,3.46,15.91,-4.53,False,True,6.6,20260128,3.0
AJWA,False,116.9,-0.81,11960,24800,0.48,False,False,False,,,,,116.74,132.5,0.14,13.34,126.44,-7.55,False,True,5.64,20260128,3.0
KABO,False,6.54,-2.39,745755,2474521,0.3,True,False,False,,,,,5.76,6.65,13.57,1.64,6.9,-5.22,False,True,9.07,20260128,3.0
EGAS,False,41.78,-1.11,183718,153010,1.2,False,False,False,,,,,40.5,45.18,3.16,8.13,43.99,-5.02,False,True,6.01,20260128,2.0
MOSC,False,149.65,-5.52,9185,8464,1.09,False,False,False,,,,,148.0,198.98,1.11,32.96,182.85,-18.16,False,False,8.51,20260128,2.0
COPR,False,0.3,-3.55,18481709,26966571,0.69,False,False,False,,,,,0.3,0.39,0.28,31.89,0.36,-16.48,False,False,8.41,20260128,2.0
MPCI,False,130.14,-2.15,262523,389008,0.67,False,False,False,,,,,130.01,168.89,0.1,29.77,188.9,-31.11,False,False,6.91,20260128,2.0
CAED,False,60.96,-4.57,16302,26675,0.61,False,False,False,,,,,60.11,73.8,1.41,21.07,65.5,-6.93,False,False,10.93,20260128,2.0
EALR,False,334.01,-0.84,7747,12782,0.61,False,False,False,,,,,274.56,378.83,21.65,13.42,341.9,-2.31,False,True,10.59,20260128,2.0
GIHD,False,38.4,-2.71,121540,202459,0.6,False,False,False,,,,,38.16,44.77,0.62,16.59,45.91,-16.36,False,False,10.25,20260128,2.0
MPCO,False,1.43,-0.69,22455052,17475138,1.28,False,False,False,,,,,1.05,1.8,36.2,26.11,1.69,-15.38,False,False,7.87,20260128,1.0
INEG,False,0.48,3.23,12871836,10201797,1.26,False,False,False,,,,,0.36,0.53,33.09,9.6,0.51,-5.14,False,True,12.05,20260128,1.0
ISMQ,False,6.85,-3.39,7784230,7493101,1.04,False,False,False,,,,,6.02,7.23,13.69,5.5,7.6,-9.87,False,True,7.18,20260128,1.0
WKOL,False,268.75,-3.36,7840,9493,0.83,False,False,False,,,,,222.01,349.33,21.05,29.98,322.0,-16.54,False,False,9.49,20260128,1.0
EHDR,False,2.09,-3.69,6230203,8023735,0.78,False,False,False,,,,,1.84,2.32,13.82,10.87,2.43,-13.99,False,False,8.37,20260128,1.0
ISMA,False,12.05,-3.21,305080,395837,0.77,False,False,False,,,,,10.01,13.68,20.43,13.53,13.6,-11.4,False,False,6.8,20260128,1.0
RREI,False,2.65,-4.33,7897186,12548516,0.63,False,False,False,,,,,2.25,3.2,17.82,20.75,3.09,-14.24,False,False,9.77,20260128,1.0
SPMD,False,0.34,-0.58,12825734,25629640,0.5,False,False,False,,,,,0.33,0.37,4.03,6.41,0.36,-5.49,False,False,6.22,20260128,1.0
ZMID,False,5.28,-1.68,8815154,7857939,1.12,False,False,False,,,,,4.01,5.61,31.68,6.34,5.95,-11.26,False,False,5.32,20260128,0.0
